"","@ in URLs","Attachments","BanWords","Css","External Resources","Flash content","HTML content","Html Form","Html iFrame","IPs in URLs","Javascript","Phishy","URLs"
"0","False","0","201","0","0","False","True","False","False","False","0","True","2"
"1","False","0","510","0","0","False","True","False","False","True","0","True","7"
"2","False","0","555","0","0","False","True","False","False","True","0","True","12"
"3","False","0","1002","0","0","False","True","False","False","True","0","True","15"
"4","False","0","525","0","0","False","True","False","False","False","0","True","13"
"5","False","0","440","0","0","False","True","False","False","False","0","True","3"
"6","False","0","737","0","0","False","True","False","False","True","0","True","1"
"7","False","0","562","0","0","False","True","False","False","False","0","True","4"
"8","False","0","437","0","0","False","True","False","False","True","0","True","6"
"9","False","0","659","0","0","False","True","False","False","True","0","True","24"
"10","False","0","734","0","0","False","True","False","False","True","0","True","15"
"11","False","0","674","0","0","False","True","False","False","False","0","True","5"
"12","False","0","729","0","0","False","True","False","False","True","0","True","1"
"13","False","0","706","0","0","False","True","False","False","False","0","True","8"
"14","False","0","641","0","0","False","True","False","False","True","0","True","1"
"15","False","0","562","0","0","False","True","False","False","True","0","True","4"
"16","False","0","7863","0","0","False","True","False","False","False","0","True","0"
"17","False","0","674","0","0","False","True","False","False","False","0","True","5"
"18","False","0","699","0","0","False","True","False","False","True","0","True","1"
"19","False","0","427","0","0","False","True","False","False","False","0","True","1"
"20","False","0","1151","0","0","False","True","False","False","False","0","True","27"
"21","False","0","501","0","0","False","True","False","False","True","0","True","3"
"22","False","0","762","0","0","False","True","False","False","True","0","True","12"
"23","False","0","537","0","0","False","True","False","False","False","0","True","6"
"24","False","0","380","0","0","False","True","False","False","True","0","True","1"
"25","False","0","419","0","0","False","True","False","False","True","0","True","2"
"26","False","0","531","0","0","False","True","False","False","False","0","True","4"
"27","False","0","805","0","0","False","True","False","False","True","0","True","4"
"28","False","0","543","0","0","False","True","False","False","True","0","True","13"
"29","False","0","628","0","0","False","True","False","False","True","0","True","2"
"30","False","0","639","0","0","False","True","False","False","False","0","True","23"
"31","False","0","842","0","0","False","True","False","False","True","0","True","15"
"32","False","0","1409","0","0","False","True","True","False","False","0","True","101"
"33","False","0","182","0","0","False","True","False","False","False","0","True","2"
"34","False","0","937","0","0","False","True","False","False","False","0","True","19"
"35","False","0","491","0","0","False","True","False","False","True","0","True","3"
"36","False","0","626","0","0","False","True","False","False","True","0","True","2"
"37","False","0","650","0","0","False","True","False","False","True","0","True","21"
"38","False","0","1287","0","0","False","True","False","False","True","0","True","8"
"39","False","0","844","0","0","False","True","False","False","False","0","True","16"
"40","False","0","542","0","0","False","True","False","False","True","0","True","13"
"41","False","0","471","0","0","False","True","False","False","True","0","True","5"
"42","False","0","528","0","0","False","True","False","False","True","0","True","5"
"43","False","0","503","0","0","False","True","False","False","True","0","True","3"
"44","False","0","567","0","0","False","True","False","False","False","0","True","8"
"45","False","0","599","0","0","False","True","False","False","False","0","True","4"
"46","False","0","495","0","0","False","True","False","False","True","0","True","3"
"47","False","0","416","0","0","False","True","False","False","False","0","True","12"
"48","False","0","674","0","0","False","True","False","False","False","0","True","5"
"49","False","0","515","0","0","False","True","False","False","True","0","True","3"
"50","False","0","337","0","0","False","True","False","False","True","0","True","2"
"51","False","0","488","0","0","False","True","False","False","False","0","True","16"
"52","False","0","329","0","0","False","True","False","False","True","0","True","3"
"53","False","0","379","0","0","False","True","False","False","True","0","True","2"
"54","False","0","343","0","0","False","True","False","False","True","0","True","1"
"55","False","0","719","0","0","False","True","False","False","True","0","True","16"
"56","False","0","1117","0","0","False","True","False","False","True","0","True","3"
"57","False","0","495","0","0","False","True","False","False","True","0","True","3"
"58","False","0","1076","0","0","False","True","False","False","True","0","True","20"
"59","False","0","348","0","0","False","True","False","False","True","0","True","4"
"60","False","0","449","0","0","False","True","False","False","False","0","True","5"
"61","False","0","739","0","0","False","True","False","False","True","0","True","1"
"62","False","0","601","0","0","False","True","False","False","True","0","True","6"
"63","False","0","848","0","0","False","True","False","False","False","0","True","20"
"64","False","0","455","0","0","False","True","False","False","True","0","True","6"
"65","False","0","512","0","0","False","True","False","False","True","0","True","6"
"66","False","0","505","0","0","False","True","False","False","True","0","True","5"
"67","False","0","942","0","0","False","True","False","False","True","0","True","17"
"68","False","0","327","0","0","False","True","False","False","True","0","True","2"
"69","False","0","379","0","0","False","True","False","False","True","0","True","2"
"70","False","0","1157","0","0","False","True","False","False","False","0","True","7"
"71","False","0","930","0","0","False","True","False","False","True","0","True","16"
"72","False","0","814","0","0","False","True","False","False","False","0","True","12"
"73","False","0","829","0","0","False","True","False","False","False","0","True","13"
"74","False","0","557","0","0","False","","True","False","True","0","True","5"
"75","False","0","1004","0","0","False","True","False","False","True","0","True","17"
"76","False","0","319","0","0","False","True","False","False","False","0","True","1"
"77","False","0","380","0","0","False","True","False","False","True","0","True","6"
"78","False","0","515","0","0","False","True","False","False","True","0","True","5"
"79","False","0","562","0","0","False","True","False","False","True","0","True","4"
"80","False","0","293","0","0","False","True","False","False","False","0","True","1"
"81","False","0","1170","0","0","False","True","False","False","False","0","True","27"
"82","False","0","464","0","0","False","True","False","False","True","0","True","2"
"83","False","0","443","0","0","False","True","False","False","True","0","True","6"
"84","False","0","679","0","0","False","True","False","False","True","0","True","1"
"85","False","0","359","0","0","False","True","False","False","True","0","True","4"
"86","False","0","633","0","0","False","True","False","False","True","0","True","11"
"87","False","0","737","0","0","False","True","False","False","True","0","True","1"
"88","False","0","644","0","0","False","True","False","False","False","0","True","23"
"89","False","0","631","0","0","False","True","False","False","False","0","True","13"
"90","False","0","1622","0","0","False","True","False","False","True","0","True","51"
"91","False","0","277","0","0","False","True","False","False","False","0","True","2"
"92","False","0","393","0","0","False","True","False","False","True","0","True","2"
"93","False","0","877","0","0","False","True","False","False","True","0","True","14"
"94","False","0","455","0","0","False","True","False","False","True","0","True","6"
"95","False","0","562","0","0","False","","True","False","True","0","True","5"
"96","False","0","547","0","0","False","True","False","False","True","0","True","13"
"97","False","0","406","0","0","False","True","False","False","False","0","True","2"
"98","False","0","475","0","0","False","True","False","False","True","0","True","7"
"99","False","0","664","0","0","False","True","False","False","True","0","True","1"
"100","False","0","495","0","0","False","True","False","False","True","0","True","3"
"101","False","0","465","0","0","False","True","False","False","True","0","True","4"
"102","False","0","737","0","0","False","True","False","False","True","0","True","24"
"103","False","0","261","0","0","False","True","False","False","False","0","True","2"
"104","False","0","556","0","0","False","True","False","False","True","0","True","12"
"105","False","0","603","0","0","False","True","False","False","True","0","True","6"
"106","False","0","1077","0","0","False","True","False","False","True","0","True","6"
"107","False","0","880","0","0","False","True","False","False","True","0","True","16"
"108","False","0","919","0","0","False","True","False","False","True","0","True","15"
"109","False","0","921","0","0","False","True","False","False","True","0","True","15"
